"plate.name","well","value"
"PellieNicotraPlate3","F04","S15-03"
"PellieNicotraPlate3","F05","AC20-09"
"PellieNicotraPlate3","F06","S27-28"
"PellieNicotraPlate3","F07","R33-06"
"PellieNicotraPlate3","F08","AC37-07"
"PellieNicotraPlate3","F09","I50-05"
"PellieNicotraPlate3","F10",""
"PellieNicotraPlate3","F11",""
"PellieNicotraPlate3","F12",""
"PellieNicotraPlate3","G01","L5-01"
"PellieNicotraPlate3","G02","D8-06"
"PellieNicotraPlate3","G03","R13-07"
"PellieNicotraPlate3","G04","S15-04"
"PellieNicotraPlate3","G05","AC20-15"
"PellieNicotraPlate3","G06","S27-29"
"PellieNicotraPlate3","G07","R33-08"
"PellieNicotraPlate3","G08","AC37-08"
"PellieNicotraPlate3","G09","I50-07"
"PellieNicotraPlate3","G10",""
"PellieNicotraPlate3","G11",""
"PellieNicotraPlate3","G12",""
"PellieNicotraPlate3","H01","L5-02"
"PellieNicotraPlate3","H02","I50-14"
"PellieNicotraPlate3","H03","R13-10"
"PellieNicotraPlate3","H04","S15-19"
"PellieNicotraPlate3","H05","AC20-18"
"PellieNicotraPlate3","H06","S27-30"
"PellieNicotraPlate3","H07","R33-10"
"PellieNicotraPlate3","H08","I45-01"
"PellieNicotraPlate3","H09","I50-09"
"PellieNicotraPlate3","H10",""
"PellieNicotraPlate3","H11",""
"PellieNicotraPlate3","H12",""
"SnowgumPlate1","A01","RH1.007"
"SnowgumPlate1","A02","RH1.019"
"SnowgumPlate1","A03","RB.002"
"SnowgumPlate1","A04","RB.012"
"SnowgumPlate1","A05","RB.C"
"SnowgumPlate1","A06","NTL.005"
"SnowgumPlate1","A07","SG.1832m.001"
"SnowgumPlate1","A08","NKR.002"
"SnowgumPlate1","A09","SG.1640m.005"
"SnowgumPlate1","A10","SG.1440m.003"
"SnowgumPlate1","A11","Blank.1"
"SnowgumPlate1","A12","GIN.007"
"SnowgumPlate1","B01","RH1.008"
"SnowgumPlate1","B02","RH.005"
"SnowgumPlate1","B03","RB.003"
"SnowgumPlate1","B04","RB.029"
"SnowgumPlate1","B05","RB.outlier"
"SnowgumPlate1","B06","NTL.010"
"SnowgumPlate1","B07","SG.1832m.002"
"SnowgumPlate1","B08","NKR.003"
"SnowgumPlate1","B09","SG.1540m.001"
"SnowgumPlate1","B10","SG.1440m.004"
"SnowgumPlate1","B11","TL 0.132"
"SnowgumPlate1","B12","GIN.008"
"SnowgumPlate1","C01","RH1.012"
"SnowgumPlate1","C02","RH.006"
"SnowgumPlate1","C03","RB.004"
"SnowgumPlate1","C04","RB.036"
"SnowgumPlate1","C05","TL 0.129"
"SnowgumPlate1","C06","NTL.010A"
"SnowgumPlate1","C07","SG.1832m.003"
"SnowgumPlate1","C08","NKR.004"
"SnowgumPlate1","C09","SG.1540m.002"
"SnowgumPlate1","C10","SG.1440m.005"
"SnowgumPlate1","C11","GIN.001"
"SnowgumPlate1","C12","GIN.009"
"SnowgumPlate1","D01","RH1.013"
"SnowgumPlate1","D02","RH.007"
"SnowgumPlate1","D03","RB.006"
"SnowgumPlate1","D04","RB.sapling.2.mother"
"SnowgumPlate1","D05","TL 0.133"
"SnowgumPlate1","D06","NTL.011"
"SnowgumPlate1","D07","kr 0.004"
"SnowgumPlate1","D08","NKR.005"
"SnowgumPlate1","D09","SG.1540m.003"
"SnowgumPlate1","D10","SG.1360m.001"
"SnowgumPlate1","D11","GIN.002"
"SnowgumPlate1","D12","GIN.010"
"SnowgumPlate1","E01","RH1.014"
"SnowgumPlate1","E02","RH.019"
"SnowgumPlate1","E03","RB.L7"
"SnowgumPlate1","E04","RB.sapling.1"
"SnowgumPlate1","E05","NTL.001"
"SnowgumPlate1","E06","NTL.lower.1"
"SnowgumPlate1","E07","kr 0.016"
"SnowgumPlate1","E08","NKR.006"
"SnowgumPlate1","E09","SG.1540m.004"
"SnowgumPlate1","E10","SG.1360m.002"
"SnowgumPlate1","E11","GIN.003"
"SnowgumPlate1","E12","GIN.011"
"SnowgumPlate1","F01","RH1.015"
"SnowgumPlate1","F02","RH.021"
"SnowgumPlate1","F03","RB.008"
"SnowgumPlate1","F04","RB.sapling.2"
"SnowgumPlate1","F05","NTL.002"
"SnowgumPlate1","F06","TR.002"
"SnowgumPlate1","F07","kr 0.051"
"SnowgumPlate1","F08","SG.1640m.002"
"SnowgumPlate1","F09","SG.1540m.005"
"SnowgumPlate1","F10","SG.1360m.003"
"SnowgumPlate1","F11","GIN.004"
"SnowgumPlate1","F12","GIN.012"
"SnowgumPlate1","G01","RH1.016"
"SnowgumPlate1","G02","RH.029"
"SnowgumPlate1","G03","RB.009"
"SnowgumPlate1","G04","RB.A"
"SnowgumPlate1","G05","NTL.003"
"SnowgumPlate1","G06","NTL.sapling.1"
"SnowgumPlate1","G07","KR.N2"
"SnowgumPlate1","G08","SG.1640m.003"
"SnowgumPlate1","G09","SG.1440m.001"
"SnowgumPlate1","G10","SG.1360m.004"
"SnowgumPlate1","G11","GIN.005"
"SnowgumPlate1","G12","GIN.013"
"SnowgumPlate1","H01","RH1.018"
"SnowgumPlate1","H02","RB.001"
"SnowgumPlate1","H03","RB.010"
"SnowgumPlate1","H04","RB.B"
"SnowgumPlate1","H05","NTL.004"
"SnowgumPlate1","H06","NTL.006"
"SnowgumPlate1","H07","NKR.001"
"SnowgumPlate1","H08","SG.1640m.004"
"SnowgumPlate1","H09","SG.1440m.002"
"SnowgumPlate1","H10","SG.1360m.005"
"SnowgumPlate1","H11","GIN.006"
"SnowgumPlate1","H12","GIN.014"
"SnowgumPlate2","A01","GIN.015"
"SnowgumPlate2","A02","GIN.023"
"SnowgumPlate2","A03","GIN.031"
"SnowgumPlate2","A04","GIN.039"
"SnowgumPlate2","A05","GIN.047"
"SnowgumPlate2","A06","NAM.005"
"SnowgumPlate2","A07","NAM.013"
"SnowgumPlate2","A08","NAM.021"
"SnowgumPlate2","A09","NAM.029"
"SnowgumPlate2","A10","NAM.037"
"SnowgumPlate2","A11","NAM.045"
"SnowgumPlate2","A12","NAM.053"
"SnowgumPlate2","B01","GIN.016"
"SnowgumPlate2","B02","GIN.024"
"SnowgumPlate2","B03","GIN.032"
"SnowgumPlate2","B04","GIN.040"
"SnowgumPlate2","B05","GIN.048"
"SnowgumPlate2","B06","NAM.006"
"SnowgumPlate2","B07","NAM.014"
"SnowgumPlate2","B08","NAM.022"
"SnowgumPlate2","B09","NAM.030"
"SnowgumPlate2","B10","NAM.038"
"SnowgumPlate2","B11","NAM.046"
"SnowgumPlate2","B12","NAM.054"
"SnowgumPlate2","C01","GIN.017"
"SnowgumPlate2","C02","GIN.025"
"SnowgumPlate2","C03","GIN.033"
"SnowgumPlate2","C04","GIN.041"
"SnowgumPlate2","C05","GIN.049"
"SnowgumPlate2","C06","NAM.007"
"SnowgumPlate2","C07","NAM.015"
"SnowgumPlate2","C08","NAM.023"
"SnowgumPlate2","C09","NAM.031"
"SnowgumPlate2","C10","NAM.039"
"SnowgumPlate2","C11","NAM.047"
"SnowgumPlate2","C12","NAM.055"
"SnowgumPlate2","D01","GIN.018"
"SnowgumPlate2","D02","GIN.026"
"SnowgumPlate2","D03","GIN.034"
"SnowgumPlate2","D04","GIN.042"
"SnowgumPlate2","D05","GIN.050"
"SnowgumPlate2","D06","NAM.008"
"SnowgumPlate2","D07","NAM.016"
"SnowgumPlate2","D08","NAM.024"
"SnowgumPlate2","D09","NAM.032"
"SnowgumPlate2","D10","NAM.040"
"SnowgumPlate2","D11","NAM.048"
"SnowgumPlate2","D12","NAM.056"
"SnowgumPlate2","E01","GIN.019"
"SnowgumPlate2","E02","GIN.027"
"SnowgumPlate2","E03","GIN.035"
"SnowgumPlate2","E04","GIN.043"
"SnowgumPlate2","E05","NAM.001"
"SnowgumPlate2","E06","NAM.009"
"SnowgumPlate2","E07","NAM.017"
"SnowgumPlate2","E08","NAM.025"
"SnowgumPlate2","E09","NAM.033"
"SnowgumPlate2","E10","NAM.041"
"SnowgumPlate2","E11","NAM.049"
"SnowgumPlate2","E12","NAM.057"
"SnowgumPlate2","F01","GIN.020"
"SnowgumPlate2","F02","GIN.028"
"SnowgumPlate2","F03","GIN.036"
"SnowgumPlate2","F04","GIN.044"
"SnowgumPlate2","F05","NAM.002"
"SnowgumPlate2","F06","NAM.010"
"SnowgumPlate2","F07","NAM.018"
"SnowgumPlate2","F08","NAM.026"
"SnowgumPlate2","F09","NAM.034"
"SnowgumPlate2","F10","NAM.042"
"SnowgumPlate2","F11","NAM.050"
"SnowgumPlate2","F12","NAM.058"
"SnowgumPlate2","G01","GIN.021"
"SnowgumPlate2","G02","GIN.029"
"SnowgumPlate2","G03","GIN.037"
"SnowgumPlate2","G04","GIN.045"
"SnowgumPlate2","G05","NAM.003"
"SnowgumPlate2","G06","NAM.011"
"SnowgumPlate2","G07","NAM.019"
"SnowgumPlate2","G08","NAM.027"
"SnowgumPlate2","G09","NAM.035"
"SnowgumPlate2","G10","NAM.043"
"SnowgumPlate2","G11","NAM.051"
"SnowgumPlate2","G12","NAM.059"
"SnowgumPlate2","H01","GIN.022"
"SnowgumPlate2","H02","GIN.030"
"SnowgumPlate2","H03","GIN.038"
"SnowgumPlate2","H04","GIN.046"
"SnowgumPlate2","H05","NAM.004"
"SnowgumPlate2","H06","NAM.012"
"SnowgumPlate2","H07","NAM.020"
"SnowgumPlate2","H08","NAM.028"
"SnowgumPlate2","H09","NAM.036"
"SnowgumPlate2","H10","NAM.044"
"SnowgumPlate2","H11","NAM.052"
"SnowgumPlate2","H12","NAM.060"
"BettongTest","A01",""
"BettongTest","A02",""
"BettongTest","A03",""
"BettongTest","A04",""
"BettongTest","A05",""
"BettongTest","A06",""
"BettongTest","A07",""
"BettongTest","A08",""
"BettongTest","A09",""
"BettongTest","A10","Bga016"
"BettongTest","A11",""
"BettongTest","A12",""
"BettongTest","B01",""
"BettongTest","B02",""
"BettongTest","B03",""
"BettongTest","B04",""
"BettongTest","B05",""
"BettongTest","B06",""
"BettongTest","B07",""
"BettongTest","B08",""
"BettongTest","B09",""
"BettongTest","B10","Bga017"
"BettongTest","B11",""
"BettongTest","B12",""
"BettongTest","C01",""
"BettongTest","C02",""
"BettongTest","C03",""
"BettongTest","C04",""
"BettongTest","C05",""
"BettongTest","C06",""
"BettongTest","C07",""
"BettongTest","C08",""
"BettongTest","C09",""
